frame_number,class_id,confidence,x,y,w,h
162,0,0.65018153,141195,72792,31279,103309
162,0,0.53306365,141356,70939,31446,100942
162,0,0.50002825,156464,313626,121326,189288
162,0,0.6208132,141137,72751,31353,104160
162,0,0.6452949,120512,190423,47751,247397
162,0,0.5877934,120689,191779,48745,243285
162,0,0.50725037,156496,313982,120493,189622
163,0,0.54544026,141323,80700,31247,120032
163,0,0.51063067,141276,80649,31420,121129
163,0,0.5319228,117975,186925,48997,258559
163,0,0.50111175,156284,314763,122183,189056
164,0,0.53035206,141640,80096,31697,120412
164,0,0.50322425,156889,313927,124475,190183
164,0,0.5018921,117697,187485,47720,258824
164,0,0.5108623,156917,314363,123600,190443
164,0,0.50328666,157373,314369,124517,189699
165,0,0.5294392,155976,314552,122544,189539
165,0,0.5069492,113905,188729,48793,264005
165,0,0.5389688,156010,315071,121671,189430
165,0,0.5316993,156484,315033,122758,188740
166,0,0.5285739,155976,314567,122595,189526
166,0,0.5034446,113993,188653,48681,265022
166,0,0.53809714,156012,315095,121718,189407
166,0,0.53072906,156498,315056,122828,188717
167,0,0.5473112,157102,314102,124227,190382
167,0,0.5543238,157158,314628,123405,190629
167,0,0.5492695,157594,314598,124415,189983
168,0,0.54700965,157126,314050,124213,190488
168,0,0.554101,157181,314574,123389,190752
168,0,0.54902095,157618,314548,124400,190093
169,0,0.53104407,142333,80533,31913,128409
169,0,0.5354279,142492,85730,32755,138774
169,0,0.5349609,156973,313981,123336,190418
169,0,0.5022408,142253,80117,32037,128351
169,0,0.541561,157016,314389,122577,190786
169,0,0.5374469,157429,314407,123522,190048
170,0,0.5344112,142381,80448,31855,128358
170,0,0.533709,142504,85556,32677,138660
170,0,0.5388872,157023,314017,123463,190361
170,0,0.50522375,142298,80032,31976,128283
170,0,0.54531217,157065,314434,122712,190709
170,0,0.54139996,157473,314453,123659,189955
171,0,0.50405526,142815,78874,31932,127006
171,0,0.53524995,156072,314650,121570,189309
171,0,0.5434759,156124,315214,120860,189317
171,0,0.53812885,156621,315231,121883,188551
172,0,0.54544514,156348,314217,122329,189850
172,0,0.55371755,156395,314749,121602,190077
172,0,0.54925615,156830,314762,122549,189364
173,0,0.5430795,142825,77999,31400,118691
173,0,0.52955395,142846,77781,31439,120301
173,0,0.5366615,143181,79308,32200,126753
173,0,0.5413869,143724,78526,32135,125060
173,0,0.5631033,157458,314433,124108,189399
173,0,0.504563,143074,78989,32262,126579
173,0,0.5075945,143743,78014,32180,124678
173,0,0.5697369,157532,315115,123376,189571
173,0,0.5631512,158250,315110,124782,188814
174,0,0.524869,142834,77819,31374,118237
174,0,0.51109064,142856,77610,31415,119994
174,0,0.53203344,143223,78734,32207,125456
174,0,0.5405994,143736,77973,32125,123796
174,0,0.5469355,157530,314266,124281,189680
174,0,0.50025326,143118,78433,32273,125283
174,0,0.5070898,143754,77445,32171,123336
174,0,0.55421114,157607,314929,123563,189898
174,0,0.5479552,158330,314928,124984,189145
175,0,0.5647722,142855,69383,30662,99174
175,0,0.53349906,142642,77249,31083,116487
175,0,0.53952897,142874,69253,30697,98958
175,0,0.5366999,142847,69213,30791,98991
175,0,0.51824725,142659,77017,31147,117984
175,0,0.57758105,143065,78238,32089,123768
175,0,0.5461923,143557,76099,31998,119085
175,0,0.5461917,142966,77862,32123,123450
175,0,0.5102252,143565,75570,32053,118625
176,0,0.5684584,142872,69510,30689,99645
176,0,0.5353916,142700,77507,31121,116873
176,0,0.54300416,142895,69382,30734,99360
176,0,0.5400107,142867,69346,30817,99466
176,0,0.51892036,142719,77279,31200,118499
176,0,0.5721175,143106,78100,32118,123745
176,0,0.54906565,143621,76297,32046,119748
176,0,0.54131997,143010,77746,32156,123478
176,0,0.5137673,143629,75783,32093,119371
177,0,0.55638176,143301,78034,32045,119308
177,0,0.5466916,143328,77789,32067,120745
177,0,0.537393,143618,78589,32761,124442
177,0,0.62957036,144287,78751,32637,124815
177,0,0.50410616,159979,314329,129849,190134
177,0,0.51163566,143506,78268,32759,124012
177,0,0.6005953,144320,78276,32621,124602
177,0,0.50939244,160064,314766,129236,190611
177,0,0.5059772,160754,314808,130096,189622
178,0,0.55936515,143304,77992,32063,119256
178,0,0.5497788,143331,77746,32077,120614
178,0,0.5417489,143609,78579,32754,124413
178,0,0.6320772,144261,78732,32633,124797
178,0,0.50727355,159846,314313,129552,190189
178,0,0.5161361,143495,78255,32749,123966
178,0,0.60288066,144294,78264,32614,124593
178,0,0.51278776,159936,314768,128938,190632
178,0,0.5093996,160648,314808,129846,189631
179,0,0.5310329,143105,77923,32059,120226
179,0,0.5207689,143104,77785,31964,122517
179,0,0.53980577,143401,77980,32624,123839
179,0,0.6171738,144067,78124,32606,123800
179,0,0.5152327,143312,77585,32642,123287
179,0,0.5882776,144085,77627,32562,123970
180,0,0.53974754,143032,77849,31913,120240
180,0,0.52939427,143028,77724,31816,122493
180,0,0.5463379,143324,78089,32442,124181
180,0,0.61133444,143952,78015,32423,123657
180,0,0.5210763,143233,77687,32464,123639
180,0,0.5806607,143973,77524,32391,123830
181,0,0.61536306,143035,78819,32158,123574
181,0,0.6084757,143047,78697,32055,125793
181,0,0.54587513,143131,80353,32581,129250
181,0,0.60673356,143895,80641,32703,129791
181,0,0.5765523,143212,84626,33850,136301
181,0,0.55412394,144219,84561,34072,139382
181,0,0.51614916,143039,79919,32569,128793
